koi_disposition,koi_score,koi_depth,koi_model_snr,koi_period,koi_duration,koi_prad,koi_srad,koi_kepmag,koi_teq
FALSE POSITIVE,0.0,616.0,138.2,3.747838198,5.0642,13.65,0.826,13.496,1031.0
CONFIRMED,0.992,430.2,107.4,14.74914825,6.0995,2.89,1.402,12.487,874.0
CONFIRMED,1.0,1175.4,37.8,21.81295996,4.3791,3.38,0.999,15.54,639.0
FALSE POSITIVE,0.0,15148.0,389.0,7.91936937,3.3148,10.34,0.776,15.805,814.0
CANDIDATE,,8098.0,89.6,1.028436523,1.8606,72.77,0.99,15.202,1947.0
CONFIRMED,1.0,15337.0,166.0,15.37562369,3.3169,11.01,0.833,16.422,600.0
CONFIRMED,1.0,887.9,39.3,8.10363271,3.161,2.11,0.732,15.289,687.0
CONFIRMED,1.0,417.5,21.3,4.71510843,2.506,1.46,0.732,15.289,823.0
CONFIRMED,1.0,780.7,70.8,6.365839713,2.9721,2.44,0.849,15.09,914.0
FALSE POSITIVE,0.037,962.4,50.3,5.97581754,3.065,3.86,0.997,15.546,1047.0
FALSE POSITIVE,0.0,1177.9,110.2,2.446737317,4.7211,26.25,0.863,15.021,1261.0
CONFIRMED,1.0,10859.0,568.2,3.04033046,1.8411,8.99,0.791,15.028,1021.0
CONFIRMED,1.0,3081.4,86.6,15.33528675,3.897,5.0,0.817,15.855,610.0
CONFIRMED,0.998,50.0,14.7,7.95825328,4.377,1.06,1.402,12.487,1074.0
CONFIRMED,1.0,5073.8,117.2,31.33046135,5.176,6.5,0.817,15.855,481.0
FALSE POSITIVE,0.006,16228.0,323.4,3.9043425,3.831,12.28,0.898,15.016,1104.0
FALSE POSITIVE,0.0,44791.0,1671.1,9.286358079,3.49949,17.61,0.821,15.365,796.0
FALSE POSITIVE,0.0,2453.9,117.2,3.951405455,2.1862,31.44,0.869,15.446,1133.0
CONFIRMED,0.999,3341.8,266.3,23.65369415,8.2183,7.89,1.384,15.084,731.0
CONFIRMED,0.996,504.6,49.1,13.23352214,6.7372,3.06,1.384,15.084,888.0
CONFIRMED,0.997,285.0,35.1,6.15560285,4.9843,2.32,1.384,15.084,1146.0
CONFIRMED,1.0,115.9,19.9,2.090811305,3.388,1.62,1.384,15.084,1642.0
CONFIRMED,0.995,120.3,50.4,3.180027898,3.5797,1.53,1.402,12.487,1458.0
CONFIRMED,0.989,370.3,19.4,50.4467417,7.159,2.67,1.384,15.084,568.0
CONFIRMED,1.0,1037.3,48.9,11.76307164,2.9076,2.35,0.756,15.208,616.0
CONFIRMED,0.878,862.7,20.9,56.2279271,3.57,2.37,0.756,15.208,366.0
FALSE POSITIVE,0.0,1268.1,50.5,2.384052875,3.0918,17.06,0.701,15.836,1010.0
CONFIRMED,1.0,875.4,38.4,7.953547,2.6312,2.25,0.779,15.66,696.0
